what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1357118684300
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1357118684307
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1357118684326
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1357118684353
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1357118684367
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1357118684503
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1357118684514
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1357118684539
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1357118684573
started,bundle,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.adt",1357118684573
started,bundle,com.android.ide.eclipse.base,20.0.0.v201206242043-391819,"com.android.ide.eclipse.base",1357118684574
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1357118684586
started,bundle,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse",1357118684636
os,sysinfo,,,"win32",1357118684640
arch,sysinfo,,,"x86",1357118684640
ws,sysinfo,,,"win32",1357118684640
locale,sysinfo,,,"en_US",1357118684640
processors,sysinfo,,,"4",1357118684640
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1357118684640
java.runtime.version,sysinfo,,,"1.7.0-b147",1357118684640
java.specification.name,sysinfo,,,"Java Platform API Specification",1357118684640
java.specification.vendor,sysinfo,,,"Oracle Corporation",1357118684640
java.specification.version,sysinfo,,,"1.7",1357118684640
java.vendor,sysinfo,,,"Oracle Corporation",1357118684640
java.version,sysinfo,,,"1.7.0",1357118684640
java.vm.info,sysinfo,,,"mixed mode, sharing",1357118684640
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1357118684640
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1357118684640
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1357118684640
java.vm.specification.version,sysinfo,,,"1.7",1357118684640
java.vm.vendor,sysinfo,,,"Oracle Corporation",1357118684640
java.vm.version,sysinfo,,,"21.0-b17",1357118684640
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1357118684729
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1357118685699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357118686481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357119026011
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357119027336
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1357119027702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357119031922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357119074692
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1357119076493
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357119079902
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357119080614
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1357119082144
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1357119083633
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1357119084465
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1357119084846
