what,kind,bundleId,bundleVersion,description,time
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355381575786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381585366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381591755
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355381595131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381599165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381599174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381599337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381606065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381607229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381618827
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355381624307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381628168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381628179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381628343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381668061
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1355381669285
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355381670429
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355381672669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381676690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381676700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381676862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381707231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381708936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381766000
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355381769494
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355381769566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381788941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381794704
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355381797594
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355381800419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381804223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381804235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381804395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381911143
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355381914103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381918054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381918067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381918229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381990457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355381992250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382041867
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355382045434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382049872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382049882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382050045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382109761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382111102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382120783
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355382124384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382128328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382128343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382128506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382162216
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355382165706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382169868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382169879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382170042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382198459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382199912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355382224449
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1355382252026
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355382253091
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355382255130
