what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359095392509
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1359095406553
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1359095406634
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1359095410090
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1359095410090
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359095428899
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1359095429083
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1359095429129
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359095429189
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1359095443028
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359095507228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095614806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095814876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095825595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095841831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095841868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095867910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095870147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095951686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095952966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095955133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095956558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359096563239
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1359096567101
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359096721239
opened,editor,,,"org.eclipse.ui.systemInPlaceEditor",1359096743488
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1359096743512
opened,editor,,,"org.eclipse.ui.systemInPlaceEditor",1359096745936
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1359096746063
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1359096772222
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359096835476
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1359096841093
