what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1355463573657
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355463579859
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355463582154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1355463587767
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355463588796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1355463593933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1355463597139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355463600774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355463814499
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355463816851
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355463824926
error,log,,,"Error",1355463829956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355463830141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355463830188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355463848913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355463848925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355463849084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355464404795
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355464408145
error,log,,,"Error",1355464413177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355464432973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355464432985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355464433160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355465540247
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355465543165
error,log,,,"Error",1355465548192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355465548377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355466079185
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355466079761
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355466085871
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355466088368
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355466096533
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355466097212
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355466097471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355466173094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355466184427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355466188254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355466210325
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355466212413
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355466218110
error,log,,,"Error",1355466223212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355466243724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355466243739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355466243941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355466384950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355466386175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355467500516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355467502280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355467505262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355467951257
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355467962445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355467968958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355474679855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355474680153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355474680232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355474681180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355474704807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355474711499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355474720639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355474722333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355475385492
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1355475388307
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355475390719
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355475393277
error,log,,,"Error",1355475398348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355475418924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355475418937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355475419101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355475544271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355475545392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355475582997
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1355475586244
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355475617013
