what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355748926519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355748927565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355806714752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355806715248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355807587450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355807600514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355807606875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355807616371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355807621731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355807631827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809182702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809183239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809398488
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355809400731
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355809403377
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355809463075
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355809465016
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1355809468438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809470945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809483731
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355809484690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809486532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809493307
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355809496009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809500258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809500269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809500437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809604275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809615001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809883803
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355809887323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809891624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809891633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355809891793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355810415815
executed,command,org.testng.eclipse,6.8.0.20121120_1820,"org.testng.eclipse.shortcut.testngSuite.run",1355810419872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355810424323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355810424333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355810424497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355810522659
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1355810524004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355810525534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355810537607
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355810540703
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355810546409
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355810546436
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1355810548968
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355810558267
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1355810568455
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1355810568552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1355810568840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355810626122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355811679323
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1355811681465
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1355811682507
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1355811682549
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355811864892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812187272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812199201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812199983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812202948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812434129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812437139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812494364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812503598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812554594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812558434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812614843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812618649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812675072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812679441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812735330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812738580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812801262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355812805859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813036493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813041849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813096727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813100788
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1355813118203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813337660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813342141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813397884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813407295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813458145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813462304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813518373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813522575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813578615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813582533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813638748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813643398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813698987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813703863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813759214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813763989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813819446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813823375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813879680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813883083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813939925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355813943714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355814000167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355814003280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355814020978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355814119763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355814120771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355814150159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355814158593
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1355814175275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1355814175518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1355814186243
